Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
166,8169,MichaelNOLAN,22SEP1973,CAN,11,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1152, 11.29/+0.3 - 6.98/-1.6 - 15.17 - 1.97 - 49.86 / 14.86/+0.6 - 50.30 - 4.90 - 64.57 - 4:31.44 ,11.29,6.98,15.17,1.97,49.86,14.86,50.30,4.90,64.57,4:31.44,+0.3,-1.6,+0.6
168,8166,VasiliyKHARLAMOV,08JAN1986,RUS,1,"NationalStadium,Shenzhen(CHN)",18AUG2011,1152, 11.25/+0.7 - 7.37/0.0 - 15.01 - 1.95 - 49.76 / 14.95/-0.5 - 46.03 - 5.20 - 62.82 - 4:38.88 ,11.25,7.37,15.01,1.95,49.76,14.95,46.03,5.20,62.82,4:38.88,+0.7,0.0,-0.5
169,8164,WilliamMOTTI,25JUL1964,FRA,7,"EstadioOlímpico,Barcelona(ESP)",06AUG1992,1152, 11.42/ - 7.13/ - 15.44 - 2.12 - 50.44 / 15.02/ - 50.58 - 4.70 - 67.50 - 4:48.89 ,11.42,7.13,15.44,2.12,50.44,15.02,50.58,4.70,67.50,4:48.89,,,
169,8164,ThorstenDAUTH,11MAR1968,GER,7,Götzis(AUT),28MAY1995,1152, 10.81/-0.4 - 6.98/+1.3 - 16.46 - 1.99 - 48.90 / 14.31/+0.7 - 49.86 - 4.30 - 4.30 - 4:33.19 ,10.81,6.98,16.46,1.99,48.90,14.31,49.86,4.30,4.30,4:33.19,-0.4,+1.3,+0.7
169,8164,FlorianGEFFROUAIS,05DEC1988,FRA,1,Reims(FRA),12JUL2014,1152, 11.07/+1.2 - 7.23/+1.9 - 15.11 - 1.93 - 48.91 / 14.86/+1.1 - 44.55 - 4.60 - 63.75 - 4:16.02 ,11.07,7.23,15.11,1.93,48.91,14.86,44.55,4.60,63.75,4:16.02,+1.2,+1.9,+1.1
172,8163,AshleyBRYANT,17MAY1991,GBR,10,"Mösle-Stadium,Götzis(AUT)",28MAY2017,1151, 10.89/+2.8 - 7.70/+0.1 - 14.20 - 1.97 - 49.69 / 14.69/+0.6 - 42.52 - 4.50 - 67.54 - 4:31.86 ,10.89,7.70,14.20,1.97,49.69,14.69,42.52,4.50,67.54,4:31.86,+2.8,+0.1,+0.6
173,8161,Dirk-AchimPAJONK,27MAR1969,GER,3,Lage(GER),16JUN1996,1151, 10.78/+2.3 - 7.35/+1.2 - 14.35 - 1.98 - 48.38 / 14.54/+1.5 - 42.00 - 4.70 - 55.90 - 4:18.58 ,10.78,7.35,14.35,1.98,48.38,14.54,42.00,4.70,55.90,4:18.58,+2.3,+1.2,+1.5
174,8160,BenjaminJENSEN,13APR1975,NOR,1,Roskilde(DEN),01AUG1999,1151, 10.86/+1.6 - 7.21/+2.1 - 13.50 - 1.97 - 49.54 / 14.50/+3.5 - 43.83 - 5.30 - 59.01 - 4:34.84 ,10.86,7.21,13.50,1.97,49.54,14.50,43.83,5.30,59.01,4:34.84,+1.6,+2.1,+3.5
175,8153,PhilippHUBER,18FEB1974,SUI,10,Götzis(AUT),04JUN2000,1150, 11.00/+0.9 - 7.32/+0.4 - 14.19 - 1.88 - 48.80 / 14.78/-2.2 - 44.60 - 5.05 - 59.44 - 4:21.06 ,11.00,7.32,14.19,1.88,48.80,14.78,44.60,5.05,59.44,4:21.06,+0.9,+0.4,-2.2
176,8152,NorbertDEMMEL,10MAY1963,FRG,3,Götzis(AUT),18JUN1989,1150, 11.20/-0.1 - 7.06/+0.8 - 16.24 - 1.96 - 48.59 / 14.76/-1.0 - 52.98 - 4.40 - 55.44 - 4:24.51 ,11.20,7.06,16.24,1.96,48.59,14.76,52.98,4.40,55.44,4:24.51,-0.1,+0.8,-1.0
176,8152,EduardMIKHAN,07JUN1989,BLR,2,Ostrava(CZE),15JUL2011,1150, 10.77/+1.6 - 7.54/+0.6 - 13.98 - 1.95 - 48.02 / 14.80/-0.5 - 44.54 - 4.60 - 57.10 - 4:23.67 ,10.77,7.54,13.98,1.95,48.02,14.80,44.54,4.60,57.10,4:23.67,+1.6,+0.6,-0.5
178,8151,SebastianKNABE,13OCT1978,GER,3,Ratingen(GER),17JUN2001,1150, 10.90/+2.8 - 7.66/+1.4 - 14.86 - 2.07 - 48.93 / 14.25/+1.5 - 43.39 - 4.76 - 50.61 - 4:42.03 ,10.90,7.66,14.86,2.07,48.93,14.25,43.39,4.76,50.61,4:42.03,+2.8,+1.4,+1.5
179,8149,ZsoltKÜRTÖSI,21MAR1971,HUN,11,"OlympicStadium,Sydney(AUS)",28SEP2000,1149, 11.00/+0.4 - 7.19/-0.1 - 15.13 - 2.00 - 48.81 / 14.15/0.0 - 46.62 - 4.80 - 57.16 - 4:43.39 ,11.00,7.19,15.13,2.00,48.81,14.15,46.62,4.80,57.16,4:43.39,+0.4,-0.1,0.0
180,8148,ViktorRADCHENKO,11MAY1968,URS,7,Götzis(AUT),31MAY1992,1149, 11.25/+1.7 - 7.12/+1.3 - 16.07 - 1.99 - 50.06 / 14.63/-0.1 - 43.96 - 5.10 - 65.82 - 4:47.92 ,11.25,7.12,16.07,1.99,50.06,14.63,43.96,5.10,65.82,4:47.92,+1.7,+1.3,-0.1
181,8146,RyszardSKOWRONEK,01MAY1949,POL,1,Warszawa(POL),23JUL1972,1149, N/A - N/A - N/A - N/A - N/A / N/A - N/A - N/A - N/A - N/A ,N,N,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,A,A,A
181,8146,DrewFUCCI,26MAY1967,USA,4,"Edwardsville,IL(USA)",18JUL1996,1149, 10.73/+3.8 - 7.61/+2.9 - 13.55 - 2.02 - 49.66 / 13.97/+2.9 - 40.98 - 5.00 - 60.48 - 4:54.54 ,10.73,7.61,13.55,2.02,49.66,13.97,40.98,5.00,60.48,4:54.54,+3.8,+2.9,+2.9
183,8142,FrédéricXHONNEUX,11MAY1983,BEL,1,"StadioTreStelle,DesenzanodelGarda(ITA)",11MAY2008,1148, 11.42/-0.3 - 7.33/+1.7 - 14.79 - 1.95 - 49.60 / 15.05/+0.3 - 45.36 - 4.95 - 63.56 - 4:20.53 ,11.42,7.33,14.79,1.95,49.60,15.05,45.36,4.95,63.56,4:20.53,-0.3,+1.7,+0.3
183,8142,JanDOLEŽAL,06JUN1996,CZE,1,Zlín(CZE),02JUN2019,1148, 11.02/0.0 - 7.34/+2.6 - 14.50 - 2.02 - 49.05 / 14.63/+0.2 - 46.14 - 4.80 - 62.51 - 4:46.47 ,11.02,7.34,14.50,2.02,49.05,14.63,46.14,4.80,62.51,4:46.47,0.0,+2.6,+0.2
185,8138,RomainMARTIN,12JUL1988,FRA,1,Oyonnax(FRA),15JUN2014,1148, 10.84/+1.3 - 7.47/+2.6 - 14.15 - 2.03 - 48.99 / 14.26/+0.9 - 36.25 - 4.77 - 65.72 - 4:38.57 ,10.84,7.47,14.15,2.03,48.99,14.26,36.25,4.77,65.72,4:38.57,+1.3,+2.6,+0.9
186,8137,KarlRobertSALURI,06AUG1993,EST,2,"Eugene,OR(USA)",07JUN2018,1147, 10.50/+0.5 - 7.70/+2.7 - 14.41 - 1.83 - 48.14 / 15.25/-0.7 - 42.95 - 4.81 - 56.91 - 4:24.49 ,10.50,7.70,14.41,1.83,48.14,15.25,42.95,4.81,56.91,4:24.49,+0.5,+2.7,-0.7
187,8136,StenEKBERG,25DEC1964,SWE,9,"EstadioOlímpico,Barcelona(ESP)",06AUG1992,1147, 11.11/ - 7.02/ - 14.32 - 2.03 - 48.91 / 14.97/ - 45.76 - 4.90 - 62.22 - 4:29.11 ,11.11,7.02,14.32,2.03,48.91,14.97,45.76,4.90,62.22,4:29.11,,,
187,8136,AleksandrPARKHOMENKO,21MAR1981,BLR,6,"UlleviStadium,Göteborg(SWE)",11AUG2006,1147, 11.33/-0.8 - 7.13/+0.9 - 15.93 - 2.00 - 50.33 / 14.58/+0.1 - 43.99 - 4.70 - 66.02 - 4:27.99 ,11.33,7.13,15.93,2.00,50.33,14.58,43.99,4.70,66.02,4:27.99,-0.8,+0.9,+0.1
189,8135,JackROSENDAAL,12SEP1973,NED,11,"Népstadion,Budapest(HUN)",20AUG1998,1147, 11.19/+1.7 - 7.02/+1.3 - 14.05 - 2.06 - 50.43 / 14.53/+0.8 - 42.70 - 4.90 - 63.89 - 4:20.39 ,11.19,7.02,14.05,2.06,50.43,14.53,42.70,4.90,63.89,4:20.39,+1.7,+1.3,+0.8
190,8133,ChadSMITH,09JAN1974,USA,1,"Atlanta,GA(USA)",17MAY2002,1147, 10.85/+0.2 - 7.18/+1.5 - 15.16 - 1.93 - 48.76 / 14.19/+0.5 - 46.32 - 4.85 - 58.53 - 4:45.81 ,10.85,7.18,15.16,1.93,48.76,14.19,46.32,4.85,58.53,4:45.81,+0.2,+1.5,+0.5
190,8133,RistoLILLEMETS,20NOV1997,EST,1,"Kadriorustaadion,Kadriorg,Tallinn(EST)",09AUG2020,1147, 10.94/+1.6 - 7.22/+0.8 - 14.96 - 1.99 - 50.30 / 14.69/+2.1 - 46.39 - 4.85 - 63.84 - 4:42.18 ,10.94,7.22,14.96,1.99,50.30,14.69,46.39,4.85,63.84,4:42.18,+1.6,+0.8,+2.1
192,8132,AndreasBECHMANN,28SEP1999,GER,1,"Fleinsbachstadion,Bernhausen,Filderstadt(GER)",15SEP2019,1147, 10.73/+0.6 - 7.58/+0.1 - 14.28 - 2.06 - 47.93 / 15.34/-0.2 - 36.93 - 5.10 - 61.43 - 4:48.58 ,10.73,7.58,14.28,2.06,47.93,15.34,36.93,5.10,61.43,4:48.58,+0.6,+0.1,-0.2
193,8131,AlexanderKRUGER,18NOV1963,GBR,2,Valladolid(ESP),02JUL1995,1146, 11.23/0.0 - 7.30/+0.4 - 14.20 - 2.13 - 49.27 / 14.77/-0.9 - 45.36 - 4.80 - 57.90 - 4:34.83 ,11.23,7.30,14.20,2.13,49.27,14.77,45.36,4.80,57.90,4:34.83,0.0,+0.4,-0.9
194,8130,DanSTEELE,20MAR1969,USA,8,"LaCartuja,Sevilla(ESP)",25AUG1999,1146, 10.84/+0.1 - 6.75/-0.6 - 14.12 - 1.91 - 47.04 / 14.50/+0.6 - 50.35 - 4.50 - 65.50 - 4:38.03 ,10.84,6.75,14.12,1.91,47.04,14.50,50.35,4.50,65.50,4:38.03,+0.1,-0.6,+0.6
194,8130,AydenOWENS,28MAY2000,PUR,1f4,"Azusa,CA(USA)",18APR2019,1146, 10.43/+1.1 - 7.53/+1.0 - 13.41 - 1.90 - 47.66 / 13.91/+2.2 - 43.14 - 4.60 - 51.21 - 4:28.90 ,10.43,7.53,13.41,1.90,47.66,13.91,43.14,4.60,51.21,4:28.90,+1.1,+1.0,+2.2
196,8128,ManuelEITEL,28JAN1997,GER,9,"Mösle-Stadium,Götzis(AUT)",26MAY2019,1146, 10.41/+0.9 - 7.32/+1.2 - 14.64 - 2.00 - 48.52 / 14.42/+0.7 - 41.90 - 4.80 - 57.27 - 4:50.48 ,10.41,7.32,14.64,2.00,48.52,14.42,41.90,4.80,57.27,4:50.48,+0.9,+1.2,+0.7
197,8127,FlorianSCHÖNBECK,13JAN1974,GER,1,Wesel(GER),03SEP2000,1146, 11.34/+0.1 - 7.28/0.0 - 14.13 - 1.91 - 49.07 / 14.54/+0.1 - 42.22 - 5.20 - 64.70 - 4:29.74 ,11.34,7.28,14.13,1.91,49.07,14.54,42.22,5.20,64.70,4:29.74,+0.1,0.0,+0.1
198,8126,RubenGADO,13DEC1993,FRA,1,Albi(FRA),07JUL2018,1146, 10.77/+2.9 - 7.55/+2.5 - 13.63 - 1.91 - 48.58 / 14.88/+1.2 - 39.87 - 5.10 - 56.41 - 4:20.86 ,10.77,7.55,13.63,1.91,48.58,14.88,39.87,5.10,56.41,4:20.86,+2.9,+2.5,+1.2
199,8125,JorgeUREÑA,08OCT1993,ESP,9,"OlympicStadium,London(GBR)",12AUG2017,1146, 11.00/-0.8 - 7.30/-0.4 - 13.91 - 2.08 - 48.72 / 14.15/+0.4 - 36.33 - 5.00 - 56.06 - 4:26.46 ,11.00,7.30,13.91,2.08,48.72,14.15,36.33,5.00,56.06,4:26.46,-0.8,-0.4,+0.4
200,8123,YevgeniySARANTSEV,05FEB1988,RUS,1,"Adler,Sochi(RUS)",16MAY2014,1145, 11.20/+0.8 - 7.19/0.0 - 15.34 - 2.03 - 50.57 / 15.07/+0.1 - 42.60 - 5.00 - 66.44 - 4:35.09 ,11.20,7.19,15.34,2.03,50.57,15.07,42.60,5.00,66.44,4:35.09,+0.8,0.0,+0.1
201,8122,KlausAMBROSCH,23MAY1973,AUT,6,Götzis(AUT),27MAY2001,1145, 10.93/+0.3 - 7.39/+0.7 - 14.71 - 1.94 - 49.33 / 14.56/-0.6 - 39.52 - 4.80 - 68.15 - 4:36.36 ,10.93,7.39,14.71,1.94,49.33,14.56,39.52,4.80,68.15,4:36.36,+0.3,+0.7,-0.6
201,8122,IndrekTURI,30JUL1981,EST,2,Daegu(KOR),29AUG2003,1145, 11.05/+0.1 - 7.01/+1.3 - 14.31 - 2.10 - 49.72 / 14.36/+1.6 - 40.23 - 5.00 - 62.84 - 4:39.69 ,11.05,7.01,14.31,2.10,49.72,14.36,40.23,5.00,62.84,4:39.69,+0.1,+1.3,+1.6
203,8121,JiříSÝKORA,20JAN1995,CZE,6,"Mösle-Stadium,Götzis(AUT)",29MAY2016,1145, 10.86/+1.1 - 7.41/+1.6 - 14.19 - 2.00 - 48.97 / 14.36/0.0 - 45.21 - 4.60 - 58.64 - 4:36.47 ,10.86,7.41,14.19,2.00,48.97,14.36,45.21,4.60,58.64,4:36.47,+1.1,+1.6,0.0
204,8120,MarcusNILSSON,03MAY1991,SWE,3,"Stadionring,Ratingen(GER)",17JUN2018,1145, 11.25/+1.0 - 6.95/+0.7 - 14.91 - 1.98 - 50.52 / 14.58/+1.3 - 45.07 - 5.00 - 63.68 - 4:24.62 ,11.25,6.95,14.91,1.98,50.52,14.58,45.07,5.00,63.68,4:24.62,+1.0,+0.7,+1.3
205,8119,AndresRAJA,02JUN1982,EST,14,"Olympiastadion,Berlin(GER)",20AUG2009,1145, 10.82/+0.2 - 7.38/+0.4 - 14.55 - 1.99 - 49.00 / 14.22/+0.3 - 42.75 - 4.80 - 57.73 - 4:40.73 ,10.82,7.38,14.55,1.99,49.00,14.22,42.75,4.80,57.73,4:40.73,+0.2,+0.4,+0.3
206,8118,MichaelMORRISON,18MAR1988,USA,1,"DesMoines,IA(USA)",10JUN2011,1144, 10.66/+2.8 - 7.52/+0.8 - 13.00 - 1.87 - 48.06 / 14.48/+1.8 - 41.82 - 5.00 - 60.47 - 4:35.35 ,10.66,7.52,13.00,1.87,48.06,14.48,41.82,5.00,60.47,4:35.35,+2.8,+0.8,+1.8
207,8114,BrentNEWDICK,31JAN1985,NZL,8,"Mösle-Stadium,Götzis(AUT)",29MAY2011,1144, 10.95/+0.6 - 7.45/+0.4 - 14.17 - 1.94 - 49.61 / 14.76/-0.9 - 46.65 - 4.66 - 63.03 - 4:32.50 ,10.95,7.45,14.17,1.94,49.61,14.76,46.65,4.66,63.03,4:32.50,+0.6,+0.4,-0.9
208,8112,IvanGRIGORYEV,27OCT1989,RUS,2,"Adler,Sochi(RUS)",16MAY2014,1144, 10.84/+0.8 - 7.28/0.0 - 13.67 - 2.00 - 49.70 / 14.72/+0.1 - 43.02 - 5.00 - 61.81 - 4:35.28 ,10.84,7.28,13.67,2.00,49.70,14.72,43.02,5.00,61.81,4:35.28,+0.8,0.0,+0.1
208,8112,ArtyomMAKARENKO,23APR1997,RUS,3,Smolensk(RUS),10JUN2017,1144, 11.00/+0.7 - 7.03/+0.2 - 14.62 - 2.03 - 48.70 / 13.82/+1.4 - 40.71 - 5.00 - 51.55 - 4:27.99 ,11.00,7.03,14.62,2.03,48.70,13.82,40.71,5.00,51.55,4:27.99,+0.7,+0.2,+1.4
210,8111,MarcelDOST,28SEP1969,NED,18,"OlympicStadium,Atlanta,GA(USA)",01AUG1996,1143, 10.87/ - 7.21/ - 13.91 - 1.95 - 48.19 / 14.52/ - 41.92 - 5.20 - 57.76 - 4:38.81 ,10.87,7.21,13.91,1.95,48.19,14.52,41.92,5.20,57.76,4:38.81,,,
211,8110,NadirELFASSI,23SEP1983,FRA,1,St-Etienne(FRA),27JUN2010,1143, 11.10/-0.3 - 7.32/0.0 - 13.98 - 2.04 - 50.43 / 14.54/+1.5 - 41.22 - 4.90 - 59.31 - 4:19.17 ,11.10,7.32,13.98,2.04,50.43,14.54,41.22,4.90,59.31,4:19.17,-0.3,0.0,+1.5
212,8108,DavidMEWES,07OCT1976,GER,12,Götzis(AUT),04JUN2000,1143, 11.32/+2.1 - 7.46/+1.2 - 15.64 - 2.00 - 50.39 / 14.82/-2.1 - 47.51 - 4.65 - 61.19 - 4:34.83 ,11.32,7.46,15.64,2.00,50.39,14.82,47.51,4.65,61.19,4:34.83,+2.1,+1.2,-2.1
213,8106,MustafaABDUR-RAHIM,29SEP1982,USA,1,"Alamosa,CO(USA)",19APR2008,1143, 10.72/0.0 - 7.22/+0.5 - 14.29 - 1.94 - 48.22 / 14.21/+2.8 - 51.45 - 4.40 - 54.72 - 4:39.60 ,10.72,7.22,14.29,1.94,48.22,14.21,51.45,4.40,54.72,4:39.60,0.0,+0.5,+2.8
214,8102,RolandSCHWARZL,10DEC1980,AUT,10,"OlympicStadium,Athina(GRE)",24AUG2004,1142, 10.98/-0.2 - 7.49/+0.9 - 14.01 - 1.94 - 49.76 / 14.25/+2.3 - 42.43 - 5.10 - 56.32 - 4:33.56 ,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.10,56.32,4:33.56,-0.2,+0.9,+2.3
214,8102,DanielAWDE,22JUN1988,GBR,1,Arona(ESP),27MAY2012,1142, 10.87/-1.1 - 7.47/0.0 - 13.67 - 1.91 - 47.14 / 14.44/+0.5 - 42.88 - 4.70 - 54.55 - 4:23.66 ,10.87,7.47,13.67,1.91,47.14,14.44,42.88,4.70,54.55,4:23.66,-1.1,0.0,+0.5
216,8101,KarelTILGA,05FEB1998,EST,11,"Mösle-Stadium,Götzis(AUT)",27MAY2018,1142, 11.04/+0.3 - 7.33/+1.0 - 15.32 - 2.09 - 49.82 / 15.25/-2.4 - 40.72 - 4.70 - 69.25 - 4:46.34 ,11.04,7.33,15.32,2.09,49.82,15.25,40.72,4.70,69.25,4:46.34,+0.3,+1.0,-2.4
217,8100,MaksimANDRALOITS,17JUN1997,BLR,2,"DinamoNationalOlympicStadium,Minsk(BLR)",01AUG2020,1142, 10.95/+0.3 - 7.08/0.0 - 15.37 - 2.07 - 49.12 / 14.45/-2.0 - 45.14 - 4.90 - 57.38 - 4:54.08 ,10.95,7.08,15.37,2.07,49.12,14.45,45.14,4.90,57.38,4:54.08,+0.3,0.0,-2.0
218,8099,ValeriyBELOUSOV,22JAN1970,RUS,3,Helmond(NED),02JUL1995,1142, 11.24/+0.2 - 7.11/-1.7 - 14.04 - 2.13 - 50.50 / 14.36/+0.1 - 41.22 - 4.80 - 61.08 - 4:24.43 ,11.24,7.11,14.04,2.13,50.50,14.36,41.22,4.80,61.08,4:24.43,+0.2,-1.7,+0.1
218,8099,JacobMINAH,03APR1982,GER,1,Bangkok(THA),13AUG2007,1142, 10.75/-0.6 - 7.87/+0.1 - 13.80 - 1.92 - 47.79 / 14.38/-0.2 - 42.38 - 4.80 - 52.66 - 4:41.11 ,10.75,7.87,13.80,1.92,47.79,14.38,42.38,4.80,52.66,4:41.11,-0.6,+0.1,-0.2
220,8094,LionelMARCENY,17JUL1974,FRA,4,Arles(FRA),04JUN2000,1141, 10.84/+1.9 - 7.72/+2.6 - 12.90 - 1.99 - 48.61 / 14.29/+0.6 - 40.43 - 5.15 - 50.82 - 4:36.26 ,10.84,7.72,12.90,1.99,48.61,14.29,40.43,5.15,50.82,4:36.26,+1.9,+2.6,+0.6
220,8094,ScottFILIP,28JAN1995,USA,2,"Dallas,TX(USA)",02JUN2019,1141, 10.69/+0.6 - 7.47/0.0 - 14.77 - 2.00 - 48.01 / 14.89/0.0 - 37.51 - 4.80 - 61.85 - 4:43.82 ,10.69,7.47,14.77,2.00,48.01,14.89,37.51,4.80,61.85,4:43.82,+0.6,0.0,0.0
222,8088,AndreiNAZAROV,09JAN1965,EST,10,"UlleviStadium,Göteborg(SWE)",07AUG1995,1140, 10.95/+0.2 - 7.35/+3.0 - 13.34 - 2.07 - 49.46 / 14.23/+2.0 - 43.42 - 4.80 - 58.94 - 4:41.39 ,10.95,7.35,13.34,2.07,49.46,14.23,43.42,4.80,58.94,4:41.39,+0.2,+3.0,+2.0
223,8086,IsaacMURPHY,10MAY1990,USA,4,"Eugene,OR(USA)",06JUN2013,1140, 10.61/+2.4 - 7.43/+3.8 - 13.91 - 1.90 - 48.25 / 14.34/+2.1 - 42.73 - 4.90 - 52.86 - 4:33.30 ,10.61,7.43,13.91,1.90,48.25,14.34,42.73,4.90,52.86,4:33.30,+2.4,+3.8,+2.1
223,8086,TaaviTŠERNJAVSKI,04MAR1995,EST,1,"Staadion,Rakvere(EST)",08JUL2020,1140, 10.98/+1.6 - 7.22/+1.6 - 15.13 - 1.96 - 49.35 / 14.69/-1.5 - 46.16 - 4.80 - 59.86 - 4:39.76 ,10.98,7.22,15.13,1.96,49.35,14.69,46.16,4.80,59.86,4:39.76,+1.6,+1.6,-1.5
225,8085,TrondHÖIBY,24JAN1973,NOR,1,Herentals(BEL),04JUL1999,1139, 11.63/-3.5 - 6.89/+3.2 - 15.10 - 2.10 - 50.31 / 15.18/-0.9 - 46.85 - 4.80 - 66.20 - 4:26.70 ,11.63,6.89,15.10,2.10,50.31,15.18,46.85,4.80,66.20,4:26.70,-3.5,+3.2,-0.9
226,8084,AleksandrAVERBUKH,01OCT1974,RUS,1,Krasnodar(RUS),21MAY1997,1139, 10.94/+0.5 - 7.50/+0.1 - 14.14 - 2.05 - 49.60 / 16.11/+0.4 - 40.68 - 5.60 - 61.12 - 4:33.79 ,10.94,7.50,14.14,2.05,49.60,16.11,40.68,5.60,61.12,4:33.79,+0.5,+0.1,+0.4
226,8084,CurtisBEACH,22JUL1990,USA,2,"DesMoines,IA(USA)",10JUN2011,1139, 10.78/+1.6 - 7.36/-1.1 - 12.08 - 2.02 - 46.90 / 14.76/+0.4 - 38.07 - 4.80 - 48.42 - 3:59.13 ,10.78,7.36,12.08,2.02,46.90,14.76,38.07,4.80,48.42,3:59.13,+1.6,-1.1,+0.4
228,8079,RainerSONNENBURG,20OCT1960,FRG,11,Götzis(AUT),19JUN1988,1138, 10.88/-1.4 - 7.69/+3.3 - 15.24 - 1.96 - 50.00 / 14.51/+0.8 - 45.16 - 4.20 - 62.68 - 4:38.15 ,10.88,7.69,15.24,1.96,50.00,14.51,45.16,4.20,62.68,4:38.15,-1.4,+3.3,+0.8
229,8074,PeterWINTER,17JAN1971,AUS,2,Victoria(CAN),24AUG1994,1138, 10.79/+0.8 - 7.65/+2.7 - 13.68 - 1.95 - 47.95 / 14.47/+0.5 - 41.08 - 4.90 - 60.40 - 4:54.94 ,10.79,7.65,13.68,1.95,47.95,14.47,41.08,4.90,60.40,4:54.94,+0.8,+2.7,+0.5
230,8073,FedorLAUKHIN,13FEB1974,UKR,1,Kiev(UKR),28JUL2000,1138, 11.09/+0.5 - 7.35/+0.6 - 12.70 - 2.06 - 49.86 / 14.56/+1.5 - 39.66 - 5.00 - 58.80 - 4:19.62 ,11.09,7.35,12.70,2.06,49.86,14.56,39.66,5.00,58.80,4:19.62,+0.5,+0.6,+1.5
231,8071,SándorMUNKÁCSY,24JUL1969,HUN,6,"OlympicStadium,Helsinki(FIN)",13AUG1994,1137, 11.14/+1.7 - 7.65/+2.0 - 13.02 - 1.93 - 48.38 / 14.24/+1.2 - 42.00 - 4.70 - 56.94 - 4:20.27 ,11.14,7.65,13.02,1.93,48.38,14.24,42.00,4.70,56.94,4:20.27,+1.7,+2.0,+1.2
232,8070,AleksandrTABALA,23MAY1986,RUS,3,"Adler,Sochi(RUS)",08MAY2012,1137, 11.73/+1.2 - 7.02/+0.8 - 15.29 - 2.06 - 51.87 / 14.78/+0.5 - 47.37 - 5.00 - 64.16 - 4:29.65 ,11.73,7.02,15.29,2.06,51.87,14.78,47.37,5.00,64.16,4:29.65,+1.2,+0.8,+0.5
